ytid,caption
HtRjRuKnvjI,"The low quality recording features an echoing electric guitar melody played over synth pad chords and smooth bass. It sounds relaxing, calming and passionate - like something you would hear in a spa center."
wQN7fRaPl2A,"A female vocalist sings this classic Spanish song. The tempo is medium with a lively accordion harmony, guiro , congas and bongos rhythm, steady bass line, and acoustic guitar accompaniment. The music is simple, light, happy, joyful, cheerful, celebratory and spirited with vocal backup.There are sounds of people cheering in the background. This is a Classic Latin Folk Song."
3noh9LiQNrs,This is the recording of a guitar lesson. The instructor at first plays the chords on a clean sounding electric guitar and then describes the nature of the chord that he is playing. The chords that were strummed could be used as clean electric guitar samples in beat-making.
Arqvnp6yUCg,This composition contains a lot of lower pitched percussive sounds. Timpanis are playing rolls that are getting louder at the peak a gong is played loudly. This song may be playing at a live concert.
BiPwCMlghhQ,This reggae song features a male voice singing the main melody. Other male voices sing backing voices repeating the same melody in between lines. This is accompanied by percussion playing a simple melody using reggae rhythm. The bass plays a groovy bassline using runs within the scale. A guitar plays chords by muting technique producing a reggae rhythm. A keyboard plays chords in the background. This song can be played in a documentary about alleviating poverty.
TLMEsc_42Gw,"The low quality recording features a live performance of an alternative/indie song, sung by passionate male vocalists over an acoustic guitar melody. It sounds passionate, emotional and heartfelt. The recording is noisy and in mono."
6II4JGJDyZo,"The low quality recording features a compilation of recordings where the first recording in the loop is a live performance that's distorted, loud and in mono. The second part of the recording is very noisy and it features bright bells, some resonating sounds and it sounds weird."
g_bgmnJ1b_g,"The low quality recording features an acoustic guitar blues melody. The recording is very noisy, roomy and you can hear cars passing by in the background."
ao-TFiShaWU,"This is an acoustic indie rock piece. There is a male vocalist singing gently in the Thai language. An acoustic guitar plays the main tune while a bass guitar is in the background. There is a piano that starts out by supporting the melody, but then wanders towards off-key notes, creating an air of conflict. The atmosphere is melancholic. This piece can be used in the soundtrack of a drama movie/TV show that takes place in Thailand."
2JNY2SaMk7s,"This reggae song features a male voice making an announcement in the beginning. A female voice sings a one-line melody. This is accompanied by the main male voice singing vocables in the background. Until this part, only a keyboard and guitar are playing a reggae rhythm. This is followed by the main male voice singing the main melody in a reggae style. This is accompanied by a kick driven percussion playing a simple beat. There are voices singing vocables in the background. The mood of this song is happy. This song can be played in a movie with a holiday theme."
_JTHtcRHxnw,"This audio contains the sound of bells ringing in different rhythm, tempo and pitch. This is an amateur recording. This may be playing in the center of a village."
6XHdybfV5Cw,"This is a pop punk music piece. The male vocals are singing melodically. Initially, there is a clean sounding electric guitar playing the main melody. Then, a rising pattern starts to play and the distorted electric guitar takes the place of the clean electric guitar. The bass guitar is playing in the background. The rhythm is provided by an upbeat acoustic drum beat. The atmosphere is hard-hitting. This piece can be used in the soundtrack of a teenage drama as the opening theme."
bkQrvXXIRng,Someone is playing acoustic drums with a lot of loud cymbal hits along with a screaming male vocal. A distorted e-guitar is playing long low notes. The atmosphere sounds dangerous and aggressive. This song may be playing in the band room practicing drumming.
FxeA9blzUD8,This song contains a string section playing a soft rising melody with key changes then an upright bass comes in being played with a bow and long strokes. An acoustic piano panned to the right side of the speakers is playing a melody along to the female voice singing. This song may be playing in a dramatic scene of a Disney movie.
OZjpYGdvMX0,Someone is playing a slightly distorted e-guitar. A funky riff is being played and repeated. The audio-quality is not the best. This is an amateur recording.
S0W_zIUYwrE,"The low quality recording features a live performance of a jazz big bend that consists of passionate trumpet melody, over groovy double bass, shimmering cymbals and mellow piano chords. It sounds reverberant, happy, passionate and fun. The recording is a bit noisy and the sound is leaning towards the right channel, which makes the stereo image unbalanced."
